"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.." "fBodyBodyGyroJerkMag.meanFreq.." "subjectID" "activity"
"52" 0.40347433 -0.015074404 -0.11816739 -0.91481115 -0.89523112 -0.89174811 -0.25504375 0.77465873 0.58977655 -0.78374234 -0.98892557 -0.89538076 0.023446864 0.00081333847 0.052811325 -0.94745338 -0.89722597 -0.97816837 0.031551954 -0.13199514 0.54327885 -0.95513929 -0.93360561 -0.81188693 -0.11906637 -0.048786067 -0.15544951 -0.96974195 -0.9531439 -0.97210194 -0.90512291 -0.83169609 -0.90512291 -0.83169609 -0.96035654 -0.90224092 -0.77756178 -0.81164844 -0.97326441 -0.94034612 -0.92631396 -0.88694847 -0.92879208 -0.91037489 -0.90562736 -0.88104465 -0.23409995 0.0079412303 -0.13607767 -0.94917576 -0.89800411 -0.9729599 -0.95022293 -0.90367544 -0.98246061 -0.054980692 -0.16635343 -0.12840717 -0.95217596 -0.93313376 -0.83554013 -0.95626437 -0.93427842 -0.82168422 -0.12946319 -0.30965551 -0.067389048 -0.87510957 -0.83619631 -0.24178745 -0.91028972 -0.89146988 -0.2985904 -0.87599774 -0.80624765 -0.27999474 -0.9524838 -0.93054398 -0.27489103 "1" "LAYING"
"53" 0.27837321 -0.020560964 -0.096824565 -0.98488259 -0.99111837 -0.98211178 -0.21014776 0.7739047 0.58511978 -0.96034279 -0.98897778 -0.96530301 0.067178002 0.015637893 -0.016186186 -0.9928808 -0.98943383 -0.99164836 0.0092571098 -0.078793121 0.25756479 -0.98117184 -0.99271925 -0.8922664 -0.11001902 -0.036833082 -0.12362339 -0.99705918 -0.99724402 -0.99760705 -0.98744609 -0.97847045 -0.98744609 -0.97847045 -0.99274198 -0.99320151 -0.91521896 -0.89860396 -0.99750843 -0.99865538 -0.98687443 -0.98900774 -0.98337917 -0.98389409 -0.99184611 -0.98179749 -0.33089384 0.28215937 0.22979633 -0.99288837 -0.99011125 -0.99079124 -0.99349601 -0.98928622 -0.99091956 0.15257604 0.087052284 0.16369105 -0.98159156 -0.99396328 -0.8983206 -0.98114495 -0.99192883 -0.89997136 -0.1772947 -0.088881882 -0.001677066 -0.98218097 -0.97848445 0.042903894 -0.99251304 -0.99296117 0.52197041 -0.93249135 -0.89574669 -0.24675149 -0.99853716 -0.99855628 0.42847339 "1" "LAYING"
"54" 0.27655526 -0.01786855 -0.10762126 -0.9941946 -0.99637166 -0.99561514 -0.20876483 0.77171208 0.58994727 -0.98879281 -0.99756896 -0.99600941 0.082498475 0.0083569472 0.00023418251 -0.99488847 -0.99140208 -0.99377178 -0.013424389 -0.075370833 0.10054482 -0.99013041 -0.99615343 -0.94702521 -0.10579546 -0.041967089 -0.090942119 -0.99773859 -0.9981612 -0.99421976 -0.99798763 -0.99609738 -0.99798763 -0.99609738 -0.99513057 -0.9946894 -0.97340095 -0.97291051 -0.99775558 -0.99842692 -0.99361477 -0.99425887 -0.99519692 -0.99436299 -0.9968263 -0.99536475 0.068314314 0.48354504 0.50752503 -0.99448499 -0.99207153 -0.99217342 -0.99588563 -0.99112114 -0.99397365 0.24963245 0.10215185 0.2550511 -0.98877868 -0.99688741 -0.95036266 -0.99048968 -0.9956296 -0.95058438 0.039468108 0.12661959 0.065183838 -0.99506057 -0.99677722 0.62369619 -0.99450594 -0.99355488 0.61604851 -0.98466623 -0.97054765 -0.2516247 -0.9983322 -0.99834175 0.43753214 "1" "LAYING"
"55" 0.27957476 -0.017275722 -0.10948053 -0.99613535 -0.99581156 -0.99868915 -0.20956406 0.77109662 0.59010467 -0.99593411 -0.99846505 -0.99877914 0.073995503 0.01378212 -0.0073714967 -0.99439037 -0.99317763 -0.99618103 -0.02495981 -0.076133944 0.043037574 -0.99618046 -0.99507117 -0.98902329 -0.10094779 -0.040474051 -0.060445163 -0.99862786 -0.99843113 -0.99459715 -0.99950449 -0.99870535 -0.99950449 -0.99870535 -0.99665137 -0.99564924 -0.98209908 -0.99305154 -0.99832501 -0.99869506 -0.99574989 -0.99345251 -0.99726751 -0.99623496 -0.99647204 -0.99902371 0.089330554 0.32407339 0.51854492 -0.99473789 -0.99311399 -0.99445967 -0.99444287 -0.99374614 -0.99663571 0.25481615 0.17879182 0.43735373 -0.99625209 -0.99727311 -0.99015354 -0.99608674 -0.99382148 -0.98946384 0.088837787 -0.22976395 0.065986097 -0.99839081 -0.99844942 0.67738736 -0.99620832 -0.99331487 0.16106371 -0.99602715 -0.99206 -0.10334982 -0.99854484 -0.99869335 0.54384817 "1" "LAYING"
"56" 0.27652699 -0.0168191 -0.10798311 -0.99677544 -0.99725636 -0.99542164 -0.20874807 0.77103706 0.58941397 -0.99946399 -0.99862466 -0.9967349 0.077122435 0.011380407 0.0034761282 -0.99483938 -0.99351915 -0.99515973 -0.029550387 -0.068085138 0.045946749 -0.99914537 -0.99548843 -0.99423868 -0.099619225 -0.040330798 -0.047750664 -0.99885537 -0.99813088 -0.99741291 -0.99905773 -0.99827359 -0.99905773 -0.99827359 -0.99626463 -0.99587063 -0.98441252 -0.99444823 -0.99894081 -0.99912404 -0.99651117 -0.99506101 -0.99473614 -0.99682163 -0.9977321 -0.995386 -0.0049171859 0.35377568 0.46072288 -0.99530794 -0.99405544 -0.99379202 -0.99470473 -0.99325372 -0.99511218 0.16807125 0.30364311 0.33697381 -0.99850797 -0.99688993 -0.99403343 -0.9993898 -0.99460984 -0.99472831 0.42505194 -0.2305108 0.41615403 -0.99773322 -0.99828295 0.63957723 -0.99699634 -0.99267283 0.25415745 -0.99633125 -0.99385786 0.077716295 -0.99885063 -0.99936052 0.63893894 "1" "LAYING"
"57" 0.27812334 -0.017146303 -0.10801374 -0.99492812 -0.99835905 -0.99201143 -0.20871697 0.77129107 0.58933471 -0.99962828 -0.99920964 -0.99716251 0.075608951 0.012335201 0.0013993239 -0.99236682 -0.99271816 -0.9916361 -0.030431147 -0.073488076 0.055590694 -0.9991156 -0.99488749 -0.99445568 -0.098206257 -0.041243883 -0.046094169 -0.99865891 -0.99809354 -0.99696266 -0.99742945 -0.99587294 -0.99742945 -0.99587294 -0.99351031 -0.99318822 -0.98814549 -0.99621972 -0.9987064 -0.99919122 -0.99470159 -0.99566666 -0.99156425 -0.99492265 -0.99919054 -0.9920588 0.037372839 0.51763917 0.33551455 -0.99303347 -0.99262297 -0.990766 -0.99222801 -0.99336245 -0.99092067 0.1877201 0.27588406 0.18979962 -0.99851987 -0.99647274 -0.99242118 -0.99933533 -0.99391749 -0.99582028 0.35721184 -0.18285949 0.4572391 -0.99485336 -0.99650887 0.62589709 -0.99297665 -0.99209042 0.12645375 -0.99698871 -0.99608841 0.099895475 -0.99911686 -0.99894755 0.59712819 "1" "LAYING"
"58" 0.27800654 -0.01780317 -0.10896485 -0.9944254 -0.99487263 -0.99488582 -0.20863346 0.77135108 0.58963487 -0.99921306 -0.99941854 -0.9987835 0.075657984 0.0050748365 -0.0012262263 -0.99194015 -0.99056545 -0.99262026 -0.02979633 -0.071422989 0.075146974 -0.99897201 -0.99445478 -0.9861557 -0.098012593 -0.038934592 -0.048297637 -0.9982894 -0.99746648 -0.99688103 -0.99741966 -0.99633327 -0.99741966 -0.99633327 -0.99320615 -0.99338638 -0.99251294 -0.99394818 -0.9982823 -0.99872606 -0.99403729 -0.99237655 -0.99333595 -0.99449739 -0.99567657 -0.99556989 -0.0012076458 0.31136343 0.54315572 -0.99250045 -0.9898414 -0.99007664 -0.99196416 -0.99227922 -0.99400964 0.14953216 0.14285166 0.44449049 -0.9985193 -0.9957374 -0.99040119 -0.9991101 -0.99363811 -0.98589917 0.32764399 -0.065534723 -0.15828311 -0.99603683 -0.99629933 0.60636694 -0.99315112 -0.99218464 0.13264009 -0.99599918 -0.99333786 -0.02425672 -0.99859072 -0.99870387 0.39450638 "1" "LAYING"
"59" 0.2802064 -0.01839626 -0.10748863 -0.99647493 -0.99406876 -0.99186131 -0.20856027 0.7707487 0.59001704 -0.99834188 -0.9963227 -0.99651469 0.073531787 0.010824142 -0.0019587455 -0.99469772 -0.99153221 -0.99342673 -0.02885418 -0.072704386 0.085061987 -0.99917255 -0.99399074 -0.9948031 -0.097892616 -0.038695857 -0.057581924 -0.99885506 -0.99797965 -0.99661481 -0.99728212 -0.99472458 -0.99728212 -0.99472458 -0.9949283 -0.99453129 -0.9959893 -0.99774873 -0.99875541 -0.99867217 -0.99569054 -0.99259551 -0.99203037 -0.99681573 -0.99420858 -0.99148221 0.044484925 0.20768029 0.20249602 -0.99512491 -0.99247489 -0.99221261 -0.99462607 -0.99090131 -0.9931454 0.12626874 0.047782148 0.18853112 -0.99866809 -0.99586517 -0.99505323 -0.99935123 -0.99287884 -0.9950569 0.274076 -0.18585085 0.34427643 -0.99390379 -0.99533504 0.43802823 -0.99399846 -0.99404556 0.52123462 -0.99789256 -0.9978802 0.19547453 -0.99871186 -0.99833283 0.25753648 "1" "LAYING"
"60" 0.28182774 -0.018626474 -0.10527824 -0.99628711 -0.99219394 -0.99020448 -0.20760682 0.76992271 0.5904504 -0.99573115 -0.99797044 -0.99812413 0.073964485 0.014924539 -0.0019185204 -0.99435908 -0.9878187 -0.99296768 -0.027737135 -0.075772812 0.086471819 -0.99924487 -0.99576488 -0.99377387 -0.097968616 -0.041539573 -0.0556776 -0.99972792 -0.99896022 -0.99560969 -0.9957705 -0.99389022 -0.9957705 -0.99389022 -0.9932731 -0.99438856 -0.99683171 -0.99804238 -0.99906282 -0.99933286 -0.99529395 -0.98974733 -0.99107413 -0.99674939 -0.99309365 -0.98948484 0.043309032 0.43782343 0.16315056 -0.99453409 -0.98683269 -0.99182548 -0.99462863 -0.99011123 -0.99259169 0.16004874 0.27663332 0.10515966 -0.99922538 -0.99727454 -0.99484631 -0.99920646 -0.99483362 -0.99380408 0.2403441 -0.24458824 0.25162277 -0.99334705 -0.99435238 0.43934678 -0.99422415 -0.99288778 0.66509324 -0.99828512 -0.99803195 0.23148437 -0.99929934 -0.99909877 0.61784313 "1" "LAYING"
"61" 0.27672941 -0.017209548 -0.10563797 -0.99478811 -0.99103132 -0.99318722 -0.20636268 0.7692959 0.59130586 -0.9981733 -0.997281 -0.99339642 0.078027424 0.0085359751 -0.0052980182 -0.99220776 -0.98626707 -0.99270232 -0.027415438 -0.076236511 0.088193255 -0.99960009 -0.99594504 -0.99434839 -0.097854591 -0.041437227 -0.051773459 -0.99981405 -0.9985712 -0.99559588 -0.9958683 -0.99579684 -0.9958683 -0.99579684 -0.99125179 -0.99567961 -0.99705625 -0.99852708 -0.99886744 -0.99923411 -0.99307421 -0.98879666 -0.99237312 -0.99564117 -0.99184777 -0.99341508 0.042898076 0.43069519 0.47759772 -0.99174989 -0.98657491 -0.9907817 -0.99350502 -0.98682994 -0.99326973 0.18098251 0.17428776 0.43300776 -0.99955507 -0.99748347 -0.994006 -0.9995902 -0.9950006 -0.99488986 0.36170784 -0.063420823 0.33465106 -0.99380693 -0.99745177 0.63632658 -0.99574837 -0.9941316 0.41231545 -0.99861154 -0.99858622 0.30056637 -0.99902758 -0.99928455 0.91857638 "1" "LAYING"
