"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.." "fBodyBodyGyroJerkMag.meanFreq.." "subjectID" "activity"
"28" 0.14450396 0.18926326 0.062769317 -0.90429967 -0.18193654 -0.44315051 0.87409866 0.042479149 0.33309449 -0.81418938 -0.25461649 -0.34244329 0.13805762 -0.34777099 -0.33527233 -0.98122357 -0.96614228 -0.98349118 -0.046489666 -0.28289794 0.22948437 -0.9733557 -0.97220339 -0.9171989 -0.11571413 -0.066663019 0.01633599 -0.98520162 -0.98666522 -0.98196657 -0.5543692 -0.18717165 -0.5543692 -0.18717165 -0.97526798 -0.97133698 -0.8738801 -0.96976795 -0.99023484 -0.9801139 -0.92128754 -0.43277861 -0.61401743 -0.89802907 -0.12526373 -0.40381329 -0.35489841 -0.18146416 -0.12436529 -0.98209043 -0.96914184 -0.9815657 -0.98187701 -0.96489086 -0.98385314 0.25988055 -0.59850344 -0.2711709 -0.967536 -0.9690438 -0.89992251 -0.97513158 -0.97447678 -0.93123209 -0.065895342 0.17024687 0.13254114 -0.44662992 -0.19941645 -0.33811215 -0.97565857 -0.96429842 -0.31267252 -0.97506987 -0.97112442 -0.26760821 -0.98331724 -0.9772135 -0.25760727 "1" "SITTING"
"29" 0.28725164 -0.037455064 -0.14597431 -0.98291504 -0.89160489 -0.94143811 0.83566368 0.16067501 0.39982173 -0.96038769 -0.89611252 -0.91088155 0.089548399 -0.034317974 0.0030597368 -0.99243453 -0.98825647 -0.99383772 -0.04840838 -0.23917386 0.24705037 -0.99422554 -0.97536842 -0.9688802 -0.094242126 -0.022414444 -0.06697056 -0.99703744 -0.99794847 -0.99666202 -0.93459377 -0.93195422 -0.93459377 -0.93195422 -0.99288968 -0.99458511 -0.89520271 -0.95274453 -0.99808771 -0.99875192 -0.98612352 -0.9319656 -0.97975316 -0.9814758 -0.88046372 -0.9286557 -0.16587014 -0.16081735 -0.34313523 -0.99252438 -0.98909638 -0.99178965 -0.99298662 -0.98798979 -0.99462142 0.18773056 -0.19884526 0.22072527 -0.9938543 -0.97978496 -0.97820971 -0.99427314 -0.97297426 -0.96880151 0.10066045 -0.14922323 -0.30398028 -0.95362658 -0.93096339 -0.087781605 -0.99476974 -0.99278695 0.30987137 -0.96970623 -0.95058339 -0.25681219 -0.99858976 -0.99876688 0.5824263 "1" "SITTING"
"30" 0.2799976 -0.019484036 -0.10572355 -0.99281839 -0.94035041 -0.98149266 0.83695957 0.15187734 0.38646765 -0.98263913 -0.94642426 -0.96440037 0.071215441 0.044244119 0.020358157 -0.9946122 -0.99291965 -0.99189025 -0.039411936 -0.16674787 0.18301929 -0.99564427 -0.97823105 -0.96663998 -0.095291208 -0.026020031 -0.078193929 -0.99807729 -0.99817308 -0.99835245 -0.97699498 -0.97105963 -0.97699498 -0.97105963 -0.99423479 -0.99452938 -0.94096567 -0.95416523 -0.99886254 -0.9991864 -0.99293691 -0.95749137 -0.98337133 -0.9926239 -0.9352808 -0.98084231 -0.039967658 -0.068091694 0.32346304 -0.99433646 -0.99333255 -0.99017788 -0.9954535 -0.99285842 -0.99217735 0.46011421 0.0314105 0.16349957 -0.99528558 -0.98342481 -0.96993296 -0.99568476 -0.97548568 -0.96842315 0.0044110032 -0.1816702 0.032572191 -0.97670695 -0.9712139 -0.10127908 -0.99398527 -0.99407461 0.41989445 -0.96972021 -0.95245005 -0.19922705 -0.99897315 -0.99932551 0.75559309 "1" "SITTING"
"31" 0.22184689 0.034107675 -0.12361242 -0.81470826 -0.749418 -0.57189889 0.83878762 0.15070183 0.38345181 -0.99203824 -0.96233892 -0.96232958 -0.013591322 0.12068585 0.22870415 -0.88383041 -0.85460677 -0.91135086 -0.037731641 0.021333829 0.076579313 -0.73087388 -0.49964946 -0.56901637 -0.016521407 -0.065023681 -0.15063907 -0.89380459 -0.88147183 -0.85853561 -0.81575864 -0.50812531 -0.81575864 -0.50812531 -0.91387886 -0.81597791 -0.68190845 -0.27136454 -0.9175591 -0.83220576 -0.80764453 -0.76550533 -0.67628885 -0.81740855 -0.75605135 -0.55205838 -0.33693309 -0.13636196 -0.27067181 -0.88214836 -0.85881998 -0.90403706 -0.8964778 -0.85985543 -0.91690502 -0.0064065533 -0.6040985 -1 -0.74866144 -0.69737845 -0.65352471 -0.73003425 -0.41291791 -0.58390665 -0.38264807 -0.94397478 -0.57021937 -0.61264851 -0.53386872 -0.24293782 -0.86032147 -0.76927158 -0.12170217 -0.60433533 -0.22046404 -0.61820352 -0.87086437 -0.80216905 -0.46353347 "1" "SITTING"
"32" -0.041701306 0.17510248 0.025551778 -0.75839283 -0.58653735 -0.43911019 0.81080506 0.19559534 0.38713197 -0.80474333 -0.73280728 -0.84969761 0.050456562 0.090830365 0.0053317431 -0.85803037 -0.84002483 -0.8962204 -0.0038232806 0.019187316 -0.050212092 -0.72058157 -0.48896854 -0.50932463 -0.095521677 -0.067817006 -0.040522627 -0.88630796 -0.87419654 -0.84808876 -0.50739668 -0.49055481 -0.50739668 -0.49055481 -0.86678801 -0.83897844 -0.59287987 -0.35701417 -0.88878839 -0.85172027 -0.81335631 -0.70656744 -0.70433301 -0.73954717 -0.5594663 -0.3690514 -0.68882682 -0.40545407 -0.98554246 -0.8667756 -0.84357581 -0.89207213 -0.86126158 -0.84714569 -0.89848012 -0.24581491 -0.60192507 -0.94151016 -0.77404985 -0.6872257 -0.68464064 -0.71281525 -0.40157813 -0.50884639 -0.74889709 -0.92929818 -0.78856591 -0.68219367 -0.4881476 -0.59724662 -0.85131788 -0.82288377 0.10924388 -0.65163072 -0.3117463 -0.72176765 -0.87238357 -0.83747045 -0.25455139 "1" "SITTING"
"33" 0.013903671 0.15329608 0.016242945 -0.80863778 -0.57274619 -0.62641542 0.70308608 0.31406786 0.43977403 -0.59632839 -0.53455402 -0.64299102 0.17843808 -0.11966443 -0.25914034 -0.92242832 -0.93646888 -0.95518789 -0.0045972195 -0.15669611 0.060405191 -0.92572959 -0.89701675 -0.72055919 -0.18174043 -0.014079617 0.047204388 -0.9636738 -0.95824501 -0.9490345 -0.62102725 -0.48451097 -0.62102725 -0.48451097 -0.94302661 -0.91068062 -0.85361742 -0.81063604 -0.9660986 -0.9471408 -0.85010909 -0.76166325 -0.72770498 -0.79420134 -0.52521634 -0.6046235 -0.19326051 -0.30854286 0.054190525 -0.92109636 -0.93762977 -0.94925418 -0.93108771 -0.93956888 -0.95970531 0.26304766 -0.54949189 -0.58818391 -0.88630279 -0.91679646 -0.78006986 -0.93920178 -0.88702317 -0.72890522 0.36521133 -0.27548492 -0.3631185 -0.69185852 -0.47811404 -0.26523161 -0.91377977 -0.90566871 0.20968223 -0.85722556 -0.81369615 -0.10875928 -0.94761761 -0.94961434 0.18128656 "1" "SITTING"
"34" 0.30368927 -0.0042428053 -0.15085028 -0.95650333 -0.83867155 -0.94300953 0.6182581 0.40950272 0.4812985 -0.90544971 -0.85046281 -0.91527246 0.098998778 -0.074612565 -0.0073366086 -0.98969999 -0.98115962 -0.99574605 -0.042681542 -0.15263343 0.20315388 -0.99621609 -0.97820247 -0.97771988 -0.10305335 -0.011939118 -0.062791658 -0.99592893 -0.98907867 -0.99323089 -0.91595384 -0.89361999 -0.91595384 -0.89361999 -0.99107291 -0.98994373 -0.93617751 -0.96711724 -0.99314699 -0.98932118 -0.9677791 -0.87902803 -0.98069583 -0.95235854 -0.82955267 -0.93038551 -0.37811345 -0.061498425 -0.49906435 -0.98835635 -0.98103161 -0.99519463 -0.99249781 -0.98267927 -0.99473074 0.24003213 -0.22633621 -0.12355492 -0.9939928 -0.97374029 -0.98158671 -0.99699378 -0.98157382 -0.97832539 0.40785068 0.39012234 -0.1996484 -0.90549594 -0.90262603 -0.1171333 -0.99033636 -0.98782658 0.2496267 -0.96910523 -0.97115637 0.15269307 -0.98956557 -0.98918242 0.12348951 "1" "SITTING"
"35" 0.29075969 -0.02403476 -0.11673889 -0.97737449 -0.96384053 -0.96250503 0.6220655 0.41986657 0.46862799 -0.95196097 -0.96299035 -0.94159828 0.062975489 0.03415889 0.033170611 -0.99358012 -0.99102301 -0.9989028 -0.041556713 -0.11325798 0.1566043 -0.99813599 -0.99054256 -0.97702357 -0.095537878 -0.035066258 -0.068364914 -0.99918853 -0.99412613 -0.99735654 -0.97480504 -0.9566084 -0.97480504 -0.9566084 -0.99684513 -0.99590981 -0.96385423 -0.97509882 -0.99679493 -0.99571251 -0.98339322 -0.97465043 -0.97488987 -0.974984 -0.96006561 -0.95783963 -0.37278954 0.086423859 0.038592924 -0.99375401 -0.99063849 -0.99841352 -0.99392194 -0.99220246 -0.99787899 0.41077455 0.20907625 -0.089948182 -0.9980739 -0.9912576 -0.98090949 -0.99808887 -0.99006757 -0.97768507 0.17608884 0.011722064 -0.011644735 -0.96861566 -0.95600866 -0.21394221 -0.99554762 -0.99517066 0.35068262 -0.98475673 -0.9733614 -0.22985723 -0.9958058 -0.9954641 0.20092475 "1" "SITTING"
"36" 0.27090823 -0.014412968 -0.10652245 -0.99385604 -0.9931787 -0.9934703 0.62745102 0.41503721 0.46423103 -0.98694934 -0.99214128 -0.98848719 0.075591498 0.011694892 -0.0072211967 -0.99740715 -0.99211449 -0.99739047 -0.035457677 -0.091001714 0.11779396 -0.99673098 -0.99424221 -0.98667882 -0.095751535 -0.036409127 -0.065751415 -0.99879597 -0.99464491 -0.99681566 -0.99523836 -0.99550157 -0.99523836 -0.99550157 -0.99763638 -0.99785691 -0.98430476 -0.98688986 -0.99703141 -0.99591487 -0.99597643 -0.99340829 -0.99489744 -0.99282051 -0.99235834 -0.99211813 -0.34877332 0.33510024 0.2858224 -0.99732906 -0.99224316 -0.99601381 -0.99773605 -0.99249266 -0.9974402 0.2340979 0.30383385 0.24861129 -0.99696281 -0.99334008 -0.98624004 -0.99658723 -0.99485993 -0.98790654 0.021293298 0.38783759 0.078644167 -0.99683806 -0.99428267 0.38033394 -0.99778629 -0.99658205 0.20742657 -0.991537 -0.98593044 -0.070297819 -0.99608502 -0.99554573 0.054594781 "1" "SITTING"
"37" 0.2795534 -0.017001147 -0.11051668 -0.99607594 -0.99578152 -0.99822168 0.62532313 0.41648854 0.46494774 -0.99505769 -0.9965211 -0.99381054 0.072773826 0.0035293806 -0.00060033363 -0.99646841 -0.99119252 -0.99673754 -0.030919137 -0.074625079 0.094283835 -0.99909646 -0.99291725 -0.99092483 -0.096390151 -0.03903317 -0.061621011 -0.99873284 -0.99459335 -0.99532203 -0.99906744 -0.99906531 -0.99906744 -0.99906531 -0.99661376 -0.99756977 -0.99388844 -0.9937742 -0.99658655 -0.99598442 -0.99612732 -0.99272576 -0.99818451 -0.99594084 -0.99697932 -0.99748962 -0.018697562 0.59323932 0.3177813 -0.99670618 -0.99155288 -0.99688883 -0.9964667 -0.99132658 -0.99494922 0.24908144 0.23065029 0.13494586 -0.99872231 -0.99296995 -0.99091693 -0.99920566 -0.9928408 -0.99161487 0.50889684 0.078256408 0.1891825 -0.99835502 -0.99914369 0.66066759 -0.99779214 -0.99581104 0.27088552 -0.99410838 -0.99442573 0.2499139 -0.99603174 -0.99580097 0.092354948 "1" "SITTING"
