"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.." "fBodyBodyGyroJerkMag.meanFreq.." "subjectID" "activity"
"79" 0.28202157 -0.037696218 -0.1348973 -0.32828019 -0.13715339 -0.18908594 0.94530277 -0.24594143 -0.032164781 -0.98404763 -0.92892805 -0.93255981 -0.15648565 -0.14285296 -0.11307869 -0.18375939 -0.17046131 -0.6138299 -0.47972952 0.082034033 0.25644309 -0.32354578 -0.14193972 -0.456598 0.094248032 -0.47621005 -0.14213364 -0.34571615 -0.48674954 -0.42150795 -0.22455962 -0.23798068 -0.22455962 -0.23798068 -0.28942433 -0.1650001 -0.034395601 -0.16818626 -0.46614969 -0.43365401 -0.26090491 -0.1225668 -0.33121596 -0.35670701 -0.19956719 -0.17778017 -0.24034828 0.021220418 -0.1267052 -0.21046447 -0.26352811 -0.53570907 -0.22825321 -0.12427445 -0.69843617 -0.35255442 -0.52037105 0.054236989 -0.18478068 -0.19802441 -0.30755844 -0.36807715 -0.11504726 -0.5653109 -0.33099711 -0.23315776 0.085932199 -0.16681083 -0.39958295 0.071108062 -0.15404481 -0.18468998 0.05448232 -0.22217604 -0.27364953 -0.00046986504 -0.43183165 -0.47637007 -0.15164178 "1" "WALKING"
"80" 0.25584075 -0.064550029 -0.095186339 -0.22920689 0.016506077 -0.26031088 0.941113 -0.25203524 -0.032883452 -0.98396245 -0.91749933 -0.94907823 -0.2075541 0.35784284 -0.45240093 -0.10835028 -0.018692846 -0.54755884 0.094091481 -0.30915291 0.086441165 -0.39925291 -0.088415705 -0.4021575 0.16674262 -0.033796125 -0.089260236 -0.24989187 -0.45374418 -0.36981311 -0.12650269 -0.21339031 -0.12650269 -0.21339031 -0.13850122 -0.1985903 -0.14093823 -0.21605518 -0.38991977 -0.43898407 -0.15111525 -0.029049967 -0.25730713 -0.26219727 -0.023857847 -0.32216393 -0.28387838 0.071734673 0.27824252 -0.17833844 -0.12083878 -0.49894754 -0.114045 0.0278476 -0.59459456 -0.28900587 -0.31683068 -0.18418296 -0.20450954 -0.24583137 -0.31117804 -0.4613169 -0.0098376617 -0.48985502 0.10793445 -0.30652056 0.087772901 -0.079277624 -0.42303003 0.17065849 -0.17844557 -0.23065634 0.19047898 -0.26827982 -0.31462338 0.13022438 -0.42818587 -0.49288443 0.17370926 "1" "WALKING"
"81" 0.25486723 0.0038147234 -0.12365809 -0.27515786 0.013079871 -0.28437131 0.9463639 -0.2642781 -0.025575066 -0.96281006 -0.95613091 -0.97190922 0.20160447 0.41708229 0.13907817 -0.17769459 -0.029600637 -0.57950713 0.21120057 -0.27290542 0.10198601 -0.44543781 -0.063083329 -0.34705584 -0.1632255 -0.0055604084 -0.23155479 -0.2642317 -0.4246765 -0.34254219 -0.16010001 -0.2575711 -0.16010001 -0.2575711 -0.19435478 -0.21994358 -0.094593563 -0.29084739 -0.37415066 -0.41803191 -0.23040737 0.025426852 -0.37731132 -0.29352234 -0.057693173 -0.29008541 -0.3321629 0.22449585 -0.0078754732 -0.19265346 -0.10961071 -0.52564781 -0.23589453 -0.0058155748 -0.63286681 -0.13444624 -0.48198596 -0.044214274 -0.31708155 -0.2081588 -0.18579836 -0.48630588 0.0097268728 -0.46935672 -0.17980673 -0.24182798 0.24344224 -0.15631258 -0.43685834 0.18660117 -0.14943801 -0.32125627 0.31075674 -0.30867072 -0.40140024 0.2004148 -0.40103832 -0.48192421 0.24430554 "1" "WALKING"
"82" 0.34337048 -0.014446221 -0.16737697 -0.22992354 0.17391077 -0.21338751 0.95244515 -0.25983791 -0.026131065 -0.98110011 -0.96439894 -0.96430389 0.33608453 -0.46414358 -0.0050257445 -0.12048623 0.028659631 -0.52146493 0.096081738 -0.16339425 0.025859464 -0.36040537 0.042333424 -0.2761384 -0.054628854 0.34028929 -0.26967159 -0.10205315 -0.24344225 -0.31157714 -0.07351308 -0.19511453 -0.07351308 -0.19511453 -0.12948008 -0.17393461 -0.049340623 -0.090123903 -0.23647406 -0.22944178 -0.15132288 0.1952672 -0.32123865 -0.26312557 0.087855316 -0.21697496 -0.21796917 0.24277715 -0.19592608 -0.18341895 -0.025971976 -0.48742267 -0.13227926 0.020367181 -0.55284935 -0.27636249 -0.46512323 -0.32863964 -0.16221058 0.026553035 -0.18046872 -0.4234905 0.044652222 -0.37656508 -0.17515958 0.063447474 0.22913488 -0.10437689 -0.37621527 0.2341223 -0.13222215 -0.23261183 0.26645968 -0.06013149 -0.27464609 0.32763238 -0.21766885 -0.29922633 0.26278644 "1" "WALKING"
"83" 0.27623973 -0.029638413 -0.14261631 -0.22657692 0.16428792 -0.12254496 0.94712514 -0.25710034 -0.028422611 -0.97692745 -0.98859597 -0.9604447 -0.23562339 -0.11177723 0.1726546 -0.19243345 0.053981333 -0.46932414 0.0087423875 0.011660578 0.0041745148 -0.37755748 0.13371503 -0.30814814 -0.075668238 0.17146688 0.13645072 -0.12906742 -0.19010724 -0.41834914 -0.04949205 -0.21102536 -0.04949205 -0.21102536 -0.1598686 -0.14985071 -0.021410464 -0.044636319 -0.22009657 -0.21277224 -0.22580363 0.11028848 -0.20488317 -0.22680227 0.11880106 -0.14635155 -0.21327457 0.041467697 -0.18682198 -0.28524022 -0.011101847 -0.42589499 -0.16922718 0.055776797 -0.51021094 -0.38121079 -0.37556471 -0.30822461 -0.23710582 0.047211246 -0.2579581 -0.4223431 0.17601624 -0.3885971 -0.17637171 -0.1440376 0.059106372 -0.12319532 -0.38785963 0.11900594 -0.11608747 -0.20103653 -0.0016147957 -0.0038214657 -0.24624861 0.34863426 -0.18755095 -0.30033796 0.41518644 "1" "WALKING"
"84" 0.25546822 0.021219063 -0.048949431 -0.22453699 0.022312942 -0.11319624 0.94574875 -0.25477781 -0.026521446 -0.98531496 -0.98019454 -0.96626457 0.11592991 0.23466731 0.36150518 -0.24577701 -0.020566631 -0.46593017 -0.0425566 0.097617796 0.084655454 -0.51085478 0.026422841 -0.37242435 -0.33244254 -0.40624756 0.23877062 -0.287501 -0.29241241 -0.48255501 -0.077394435 -0.23776722 -0.077394435 -0.23776722 -0.2060086 -0.19927244 -0.13887531 -0.16730755 -0.3038356 -0.37442998 -0.29042868 0.057822283 -0.24835735 -0.19997071 -0.062099119 -0.11065828 -0.42629225 0.24247482 0.13265712 -0.29804684 -0.051726769 -0.43348651 -0.25753842 -0.052800462 -0.49547394 -0.18047102 -0.13849441 -0.13384882 -0.34753471 -0.035159614 -0.33384574 -0.56299575 0.055512057 -0.44288023 0.1925116 0.012079807 0.0019418803 -0.20002501 -0.37817216 0.10760313 -0.15902098 -0.25781592 0.0021477746 -0.17453126 -0.30735586 0.41813914 -0.33835881 -0.46501488 0.33535697 "1" "WALKING"
"85" 0.32113983 0.0015817951 -0.043553705 -0.23395567 0.034774517 -0.16193047 0.95021213 -0.24482976 -0.023627905 -0.98994516 -0.95439711 -0.97017613 0.30483318 -0.094993043 -0.36239501 -0.10173292 -0.053477323 -0.49861984 -0.037246509 -0.097676458 0.13248328 -0.50430997 -0.10197017 -0.32240541 -0.25613684 -0.19043807 -0.010926571 -0.24189501 -0.36814485 -0.40959039 -0.09549311 -0.23418525 -0.09549311 -0.23418525 -0.1466642 -0.15836859 -0.19638987 -0.25609966 -0.32711536 -0.42371876 -0.16356217 -0.041627698 -0.25329234 -0.26347693 0.008517917 -0.17781648 -0.18009996 -0.05236536 0.075798266 -0.16775317 -0.1498672 -0.45649574 -0.11202062 -0.010835726 -0.53828508 -0.33058084 -0.49202307 -0.2793385 -0.39590549 -0.14616569 -0.27622589 -0.53891142 -0.082039892 -0.40013872 0.053237664 -0.10810804 -0.10842339 -0.14847221 -0.40610227 0.068113326 -0.13543936 -0.19450513 -0.12313669 -0.26831853 -0.37690138 0.25039229 -0.3971911 -0.50292913 0.21994178 "1" "WALKING"
"86" 0.2346659 -0.049547719 -0.11175723 -0.24708664 0.055164926 -0.20856333 0.94913033 -0.23690505 -0.022201127 -0.98032152 -0.9839185 -0.96877668 -0.2091684 0.17500548 -0.42042207 -0.015193506 0.0051255923 -0.49424157 -0.016108606 -0.2247527 0.14882964 -0.47230941 -0.061530134 -0.29837084 0.064369619 -0.068501754 -0.20808194 -0.20694617 -0.34268862 -0.34387753 -0.11344328 -0.23084634 -0.11344328 -0.23084634 -0.097063034 -0.061633391 -0.14638251 -0.24908129 -0.30373917 -0.37066839 -0.18777314 -0.0046568174 -0.2686715 -0.27172376 0.019494247 -0.23757804 -0.22231137 -0.08708512 0.18865894 -0.17170095 -0.12720584 -0.4353911 0.051579153 0.080495392 -0.5521501 -0.34560667 -0.48990239 -0.14728448 -0.32008271 -0.10693741 -0.22430549 -0.52062201 -0.04115117 -0.38854764 0.096134195 -0.067297563 -0.016259307 -0.11082694 -0.42757093 0.2345653 -0.088076196 -0.032996374 0.022105937 -0.24418375 -0.38477677 0.29880192 -0.35354882 -0.43963334 0.21824618 "1" "WALKING"
"87" 0.31263404 -0.026367749 -0.13095121 -0.3530986 -0.01738215 -0.1278076 0.94691727 -0.26205559 -0.020235796 -0.9850642 -0.94652431 -0.83709377 -0.094394668 0.013017354 -0.30579489 -0.30650885 -0.068948743 -0.60594792 -0.23928593 0.078229978 0.043137262 -0.46501506 -0.16740045 -0.43151087 0.034467284 -0.34622965 0.19077019 -0.28902666 -0.49804596 -0.54948827 -0.1696296 -0.32073899 -0.1696296 -0.32073899 -0.28756092 -0.27400211 -0.21472204 -0.22792935 -0.46434627 -0.46330737 -0.2749068 -0.062349562 -0.31909457 -0.38657078 -0.055909878 -0.098385402 -0.2490708 0.0013439574 -0.22652212 -0.32488554 -0.15821185 -0.56272771 -0.34905958 -0.032820151 -0.64777257 -0.33298679 -0.40132381 -0.41857923 -0.3276796 -0.25778599 -0.35621853 -0.50858961 -0.12194059 -0.51041089 -0.070288769 -0.11308313 -0.020525379 -0.25871717 -0.46375538 0.024106987 -0.21590346 -0.36040189 0.015740678 -0.30917911 -0.30476058 -0.038943067 -0.47289324 -0.48842516 -0.020913284 "1" "WALKING"
"88" 0.2769154 -0.03548621 -0.080569176 -0.26294183 0.11127781 -0.21270027 0.94686993 -0.25580058 -0.035627962 -0.99082894 -0.98245209 -0.91471331 -0.17405369 -0.044309143 -0.31650894 -0.20323289 0.071281747 -0.50076699 -0.070738847 -0.11881544 0.14989071 -0.46773904 -0.088727759 -0.37812283 0.18603411 -0.33257964 -0.02649704 -0.1997635 -0.46388403 -0.42599171 -0.10747234 -0.24223487 -0.10747234 -0.24223487 -0.16292627 -0.16984307 -0.17879454 -0.25342387 -0.39277622 -0.43292775 -0.23624459 0.10852771 -0.2746545 -0.27364908 0.042382333 -0.24038519 -0.16923038 -0.027292108 0.039915751 -0.23747019 -0.039713237 -0.45371719 -0.23775165 0.12142791 -0.54573562 -0.21917872 -0.45231664 -0.33949949 -0.2931536 -0.18697858 -0.28535159 -0.52341889 -0.039331806 -0.46859871 0.215049 -0.069224902 -0.022534522 -0.16322391 -0.40834585 0.1151742 -0.083012895 -0.29820284 0.22735472 -0.33790803 -0.32354691 0.25132652 -0.4493405 -0.4513102 -0.087346811 "1" "WALKING"
