"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.." "fBodyBodyGyroJerkMag.meanFreq.." "subjectID" "activity"
"126" 0.35845532 0.017975385 -0.084159118 -0.17198789 -0.18833245 -0.39955531 0.93118552 -0.25003777 -0.026669006 -0.93663325 -0.91397002 -0.92432289 0.23524531 -0.087284312 -0.23250059 -0.2000019 -0.21783518 -0.59780538 -0.032727859 -0.11106165 0.13546298 -0.67804595 -0.33117489 -0.32873594 -0.068313628 0.019193884 0.025862246 -0.45732188 -0.4874311 -0.31433835 -0.17044085 -0.18820842 -0.17044085 -0.18820842 -0.31348196 -0.16996959 -0.38014863 -0.45624243 -0.45928239 -0.47554454 -0.24857354 -0.1698128 -0.48820241 -0.1436021 -0.24966759 -0.39879402 -0.28457203 0.15317541 0.25238797 -0.21539579 -0.23152799 -0.57063166 -0.25571397 -0.25745173 -0.6224344 -0.19513581 -0.22624745 -0.14740992 -0.52783791 -0.34781888 -0.19086405 -0.72811282 -0.32579163 -0.44209844 0.033780191 -0.03499047 0.25084613 -0.14707763 -0.33831993 0.09767177 -0.11489946 -0.24919755 0.12886885 -0.40003775 -0.60156768 0.42336183 -0.46003811 -0.53467792 0.0020676879 "1" "WALKING_DOWNSTAIRS"
"127" 0.30171512 -0.0070493914 -0.093681451 -0.040142869 -0.14142127 -0.32583132 0.94706198 -0.2304889 -0.0155516 -0.94715987 -0.95272005 -0.9576926 0.064722433 0.019143688 -0.037653854 -0.10235744 -0.18060316 -0.48336229 -0.073423786 -0.081083025 0.1117395 -0.72682759 -0.15999943 -0.30760673 -0.079846005 -0.08974041 -0.12244491 -0.51492601 -0.22645512 -0.43856019 -0.048825749 -0.11708516 -0.048825749 -0.11708516 -0.18847274 -0.15700285 -0.3181541 -0.28504139 -0.36506094 -0.22428234 -0.17155168 -0.16374627 -0.42169445 0.007006763 -0.18365628 -0.32700223 -0.32609418 0.09164171 0.26104945 -0.14876378 -0.21708516 -0.44383374 -0.13288586 -0.19540348 -0.52025207 -0.14023558 -0.19669835 0.13527624 -0.61867965 -0.077744072 -0.27034612 -0.76194292 -0.22115409 -0.38349567 0.13018478 0.15859471 -0.053909993 -0.053807078 -0.2920717 0.19721762 -0.086251433 -0.25748397 0.16132417 -0.18574668 -0.50106049 0.58656222 -0.19595375 -0.31756213 -0.061525013 "1" "WALKING_DOWNSTAIRS"
"128" 0.28155172 -0.016110289 -0.14009252 -0.094665347 -0.007347987 -0.34749167 0.95929939 -0.2204156 -0.014579347 -0.97851182 -0.95484817 -0.93790082 -0.050868561 0.16601337 0.086215546 -0.10803487 -0.084011354 -0.40100535 -0.47705274 0.18064775 0.093745681 -0.34599847 -0.11528656 -0.25632971 -0.3488186 -0.18934058 0.016560915 -0.50780953 -0.10905087 -0.33309596 -0.088540677 -0.047252457 -0.088540677 -0.047252457 -0.16234534 -0.07065457 -0.034722567 -0.039304038 -0.27607448 -0.11145682 -0.14857717 0.0080386219 -0.3152888 -0.074232455 -0.07855094 -0.42136077 -0.30666328 -0.0041356314 0.39036221 -0.13415157 -0.12647272 -0.32703112 -0.16009615 -0.098630218 -0.47473237 -0.23883304 -0.48352149 0.13610791 -0.26821229 0.03699957 -0.13424218 -0.37320372 -0.23062557 -0.36905526 -0.091790647 0.21997214 -0.081350896 -0.026763659 -0.20700112 0.18168733 -0.052287846 -0.10043928 0.062272888 -0.016616702 -0.22657702 0.32697442 -0.12881429 -0.1508711 -0.00092859132 "1" "WALKING_DOWNSTAIRS"
"129" 0.27395574 -0.022899292 -0.12725614 -0.1333824 0.13226521 -0.3361737 0.95898314 -0.21665616 -0.031045351 -0.96768419 -0.9599487 -0.88773998 0.05093887 -0.11138792 -0.0045744093 -0.14683272 0.018746928 -0.38680172 -0.44452444 0.16884428 0.074028573 -0.2595275 -0.17432411 -0.23970156 0.061554017 -0.202781 -0.017391151 -0.43314761 -0.29295959 -0.32786525 -0.098690394 0.013313042 -0.098690394 0.013313042 -0.14837988 -0.061243742 -0.0017205241 -0.14390788 -0.33121028 -0.34730564 -0.15229657 0.14202752 -0.30789359 -0.1259977 0.05520031 -0.40832893 -0.41859341 -0.018114351 0.29081586 -0.16536099 -0.029612298 -0.32513413 -0.20380425 0.0038298219 -0.44659099 -0.28008454 -0.45292246 0.087429165 -0.23584916 -0.092314472 -0.13150633 -0.2740323 -0.23525598 -0.34825361 -0.27676387 0.053146257 -0.065220965 0.13857762 -0.2225121 0.044246305 -0.06871901 -0.058501644 -0.024356122 -0.21859904 -0.23900998 0.11102464 -0.3306513 -0.41445103 0.29365191 "1" "WALKING_DOWNSTAIRS"
"130" 0.29995717 0.014082123 -0.082310404 0.069268419 0.057800324 -0.23505028 0.9494625 -0.2174464 -0.036024083 -0.96359544 -0.97040129 -0.92318235 0.04067403 0.10214726 -0.035983861 -0.020238208 -0.020301028 -0.30083795 0.076307669 -0.13980936 0.062390004 -0.5427095 -0.2107071 -0.16995951 -0.094600569 0.09716612 -0.019976938 -0.48668696 -0.39743699 -0.3239807 0.028422451 0.18395782 0.028422451 0.18395782 -0.051003762 -0.029108804 -0.20791661 -0.39070152 -0.36898401 -0.5235515 0.018727258 0.099339036 -0.21460601 0.088544939 -0.032425965 -0.3102978 -0.45731041 -0.054104254 0.29247761 -0.036822523 -0.039324985 -0.24059704 -0.091073978 -0.067669415 -0.35837875 -0.35390441 -0.41399356 0.050149358 -0.43758418 -0.20368179 -0.1379991 -0.57617629 -0.22065935 -0.25653779 -0.23016847 -0.11102737 -0.16733461 0.24844729 -0.038304729 -0.031326146 0.028128341 -0.11387575 0.0044452838 -0.39392654 -0.49510104 0.24861247 -0.47817554 -0.62720248 0.4489403 "1" "WALKING_DOWNSTAIRS"
"131" 0.26537379 -0.017156211 -0.13877347 0.12036221 0.083343662 -0.22198362 0.95466327 -0.20692497 -0.027482422 -0.94879344 -0.93986119 -0.92656311 0.080449991 0.018496228 -0.037398315 0.076303518 0.037586901 -0.24993359 -0.1756098 -0.024263868 0.08926469 -0.24056586 -0.087622849 -0.052534904 -0.1828356 0.036192498 -0.11314593 -0.42152519 -0.23197406 -0.16962362 0.080265708 0.19543705 0.080265708 0.19543705 -0.01073734 0.14195703 0.0084415748 -0.16083284 -0.26151775 -0.29158374 0.086303779 0.14766293 -0.21015915 0.13349257 -0.021878308 -0.29273894 -0.39639257 -0.063954326 0.21662603 0.079016112 -0.0037995676 -0.23679741 -0.025951614 0.013120937 -0.26078086 -0.26241012 -0.48729288 -0.18398575 -0.25552477 -0.081013533 0.078356584 -0.24629699 -0.098203389 -0.18627212 -0.33172472 -0.056439261 -0.10969718 0.26861036 -0.034039418 -0.045787193 0.15583162 0.1166262 0.081107128 -0.14205179 -0.32330905 0.20091915 -0.30568085 -0.32229578 0.15839594 "1" "WALKING_DOWNSTAIRS"
"132" 0.27763311 -0.03726758 -0.10002093 -0.021760423 -0.032132086 -0.19655791 0.95827116 -0.20727327 -0.036413327 -0.96162086 -0.93799153 -0.90209166 0.061859802 -0.20504519 0.05761467 -0.018679711 -0.039541143 -0.23603003 0.00062389575 -0.096132919 0.054364145 -0.14671664 -0.068871797 -0.097631499 0.16404521 -0.34460911 -0.039105794 -0.45844486 -0.23991094 -0.14387493 -0.025681958 0.045663428 -0.025681958 0.045663428 -0.11114242 0.15592242 0.069394797 -0.21837437 -0.30103766 -0.23241768 -0.055009237 0.041001909 -0.20084382 -0.0089426054 -0.13547826 -0.25926601 -0.3337301 0.062968488 0.22882108 -0.020058835 -0.057405286 -0.23216591 -0.10732617 -0.086929381 -0.23838133 -0.17686476 -0.33450146 -0.058171073 -0.16686224 -0.01523374 0.040856096 -0.15241152 -0.1101921 -0.2305135 -0.23938613 0.14740566 -0.042918991 0.15786558 -0.18617267 0.04236935 0.1285087 0.18855262 0.029074796 -0.18616832 -0.38094888 0.28581416 -0.26776962 -0.24068848 0.00078379351 "1" "WALKING_DOWNSTAIRS"
"133" 0.26688016 -0.0023073023 -0.063727153 -0.049966361 -0.24740345 -0.25858891 0.94976646 -0.21600426 -0.031406912 -0.97968008 -0.97145637 -0.89687449 0.09544382 0.16894412 -0.0010016119 -0.15822038 -0.16500566 -0.31362105 0.44757285 -0.3071686 0.1179795 -0.73433644 -0.24694532 -0.17787937 -0.060712847 0.076541275 -0.093312803 -0.61084467 -0.38975997 -0.27543686 -0.07035973 -0.098669794 -0.07035973 -0.098669794 -0.20389863 -0.038613066 -0.13360978 -0.4419854 -0.41581756 -0.43280411 -0.12912158 -0.19194118 -0.23693541 -0.020483967 -0.3266215 -0.33269824 -0.4272078 0.21868153 0.35816349 -0.16768768 -0.22925734 -0.23553489 -0.22453472 -0.14942943 -0.39075595 -0.19193617 -0.2220033 0.12116946 -0.62279831 -0.22042573 -0.10869669 -0.77084856 -0.26915072 -0.27700453 -0.052042087 0.063600481 -0.019507893 0.010734004 -0.30703554 0.090922111 -0.0068252185 -0.08694342 0.036810512 -0.3709736 -0.60390766 0.40261667 -0.40817548 -0.50842111 0.16926991 "1" "WALKING_DOWNSTAIRS"
"134" 0.21070047 -0.005968762 -0.1095915 -0.064215283 -0.20213904 -0.32766382 0.95162211 -0.21071237 -0.0134879 -0.97988542 -0.97360748 -0.95413056 0.15173592 0.14464377 0.030320037 -0.15092811 -0.17325158 -0.32058878 0.29464233 -0.20698692 0.12148223 -0.7467113 -0.24912006 -0.23858846 -0.27003834 0.08830886 -0.13186724 -0.62725041 -0.3102165 -0.37033023 -0.077787454 -0.13898659 -0.077787454 -0.13898659 -0.19375257 -0.062550634 -0.25489683 -0.39109552 -0.38640437 -0.37454225 -0.10358763 -0.14815131 -0.26134633 -0.049114098 -0.28330121 -0.4272464 -0.48642649 0.079932054 0.57106396 -0.1497194 -0.24764121 -0.20720872 -0.2304645 -0.14628604 -0.43978768 -0.31042216 -0.4668253 0.39894588 -0.60635286 -0.12346575 -0.16074287 -0.79533775 -0.3439854 -0.33550162 0.17463037 0.20686069 -0.12817401 -0.054364745 -0.32405894 0.16696733 -0.060360287 -0.07203612 -0.13226431 -0.354428 -0.52886717 0.50232195 -0.38010682 -0.41146393 0.27988228 "1" "WALKING_DOWNSTAIRS"
"135" 0.28521305 -0.020202459 -0.011024206 0.12298877 0.08194572 0.049997153 0.92083549 -0.26701193 -0.051933496 -0.95911473 -0.90075178 -0.80465984 0.68795324 -0.44195853 -0.58961367 0.1431077 -0.012389883 -0.052455684 -0.4128569 0.18260599 0.15337268 -0.62878244 -0.010617799 -0.082462701 0.19139611 0.4794505 -0.14280977 -0.54047183 -0.038194422 -0.19066935 0.13335858 0.24274736 0.13335858 0.24274736 0.032565846 0.32370015 -0.066701101 -0.10786138 -0.21706544 -0.03628165 0.21706998 0.19051776 0.16518534 0.083777484 -0.050323452 -0.11448536 -0.057546152 0.2715879 0.63359264 0.19038622 -0.0038993162 0.096521527 -0.020968506 -0.095427491 -0.20786941 -0.016140638 -0.2223067 0.20508578 -0.42428907 0.17353315 -0.035426948 -0.69948637 -0.15108915 -0.18226259 0.23965219 0.29364291 -0.13139381 0.37743229 -0.032966277 0.29688405 0.3516744 0.27824359 -0.18496707 -0.0011116165 -0.35993431 0.52617424 -0.045316739 -0.089978912 0.062294411 "1" "WALKING_DOWNSTAIRS"
