"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.." "fBodyBodyGyroJerkMag.meanFreq.." "subjectID" "activity"
"151" 0.18360372 -0.076558729 -0.0469561 -0.36751584 -0.099160728 0.020546431 0.93935459 -0.28099607 -0.07822989 -0.8814893 -0.86283115 -0.81595065 0.25879203 0.11938596 -0.20514992 -0.44528855 -0.47970745 -0.65229315 0.22105528 -0.26354507 0.034448107 -0.68634674 -0.0013219911 -0.55655051 -0.21559862 0.034228727 -0.015072922 -0.65063937 -0.50593079 -0.65921495 -0.14452122 -0.33477144 -0.14452122 -0.33477144 -0.46148363 -0.54188479 -0.21757019 -0.16070864 -0.55426811 -0.57058347 -0.41639013 -0.2914366 -0.36168731 -0.34913057 -0.067173086 0.11530193 -0.35590089 -0.22328216 -0.50564101 -0.47758607 -0.49015987 -0.65764263 -0.46030501 -0.50439944 -0.64603934 -0.27172976 -0.48109577 -0.75439631 -0.60306889 -0.27191669 -0.52365016 -0.71273105 0.12715588 -0.60834086 -0.081708175 -0.44903779 -0.26539438 -0.36359019 -0.4221008 -0.14721567 -0.4904 -0.61971628 0.13665028 -0.2970371 -0.21444414 -0.21214958 -0.57511456 -0.5945809 -0.0066072733 "1" "WALKING_UPSTAIRS"
"152" 0.27918273 -0.036965677 -0.13360426 -0.35903189 -0.12411225 -0.10286776 0.90782845 -0.31639379 -0.062484236 -0.94384341 -0.91908816 -0.94778667 0.14865938 0.058634665 -0.15441992 -0.47707807 -0.50536646 -0.69549777 0.091549563 -0.18404312 0.046616661 -0.7379167 -0.02088405 -0.56188542 -0.12499571 0.13402323 0.13770608 -0.69767119 -0.53820256 -0.65842265 -0.18075029 -0.38786699 -0.18075029 -0.38786699 -0.49228098 -0.59120769 -0.28230236 -0.18366332 -0.58040867 -0.6092457 -0.4262804 -0.38327959 -0.43699429 -0.33425712 -0.06675728 -0.019915788 -0.4951361 -0.21931915 -0.3558611 -0.50412932 -0.54737783 -0.67459405 -0.49480049 -0.49180146 -0.71409924 -0.36905893 -0.25432184 -0.78493488 -0.67117355 -0.29472796 -0.49543674 -0.75905985 0.10845533 -0.62598643 -0.16072204 -0.3987935 0.22883199 -0.43064914 -0.45970951 -0.067972015 -0.54520291 -0.66016737 0.059231548 -0.33024104 -0.22781872 -0.11540093 -0.61904102 -0.62284776 0.059841333 "1" "WALKING_UPSTAIRS"
"153" 0.30116241 -0.0017592965 -0.10683037 -0.36266589 0.0012200422 -0.11153777 0.90332145 -0.32878069 -0.069753369 -0.97390343 -0.97957926 -0.9422135 0.089970801 -0.29167396 -0.14793367 -0.53820966 -0.42698598 -0.75399115 0.40149417 -0.50093651 -0.1189745 -0.35180201 -0.026260286 -0.41956706 0.087295897 0.044658829 -0.15346846 -0.6345278 -0.59544474 -0.65194976 -0.14245791 -0.43158019 -0.14245791 -0.43158019 -0.52451544 -0.59173517 -0.050825995 0.10130039 -0.60543109 -0.64489902 -0.44453 -0.11089469 -0.48044247 -0.33300892 -0.0061562148 -0.017145055 -0.67243914 -0.083581598 -0.43688444 -0.55500288 -0.42551328 -0.72323358 -0.56149508 -0.47070131 -0.7837559 -0.53607901 -0.59072885 -0.60613227 -0.37867281 -0.29767153 -0.4213541 -0.35351507 0.1020097 -0.47193162 -0.36199493 -0.55726607 -0.3896477 -0.40260435 -0.53649165 -0.086577783 -0.5545572 -0.64662673 0.053318087 -0.22320431 0.10688412 -0.45252684 -0.62926092 -0.69225517 0.042175379 "1" "WALKING_UPSTAIRS"
"154" 0.29341097 -0.018714518 -0.066159078 -0.36815735 0.09566293 -0.019262368 0.91286572 -0.32537586 -0.070078815 -0.95333008 -0.97152051 -0.92355347 0.17672215 -0.35407112 -0.20845667 -0.53740568 -0.31479273 -0.7153587 0.24186906 -0.27412717 0.0045285318 -0.20117646 0.0065099818 -0.36459996 0.033336024 0.20174952 -0.37350114 -0.6159635 -0.57476215 -0.568777 -0.11472258 -0.31243126 -0.11472258 -0.31243126 -0.48636301 -0.52627199 0.01382027 0.008518332 -0.57979101 -0.610908 -0.42771831 -0.031808768 -0.34873771 -0.34603822 0.089690133 0.058855639 -0.57319392 0.05978098 -0.39582295 -0.55840113 -0.3478281 -0.67649459 -0.55619908 -0.32411052 -0.75387541 -0.55432713 -0.38678843 -0.50516342 -0.32960797 -0.19206845 -0.2925131 -0.18391367 0.10464793 -0.44812124 -0.44564073 -0.40131843 -0.090917826 -0.27377158 -0.44179793 0.055011078 -0.47714495 -0.59937305 0.17784867 -0.17947438 -0.042148635 -0.25370157 -0.59404889 -0.66266502 0.035729409 "1" "WALKING_UPSTAIRS"
"155" 0.2303099 0.0021737117 -0.043103131 -0.33525447 -0.020443574 0.03120999 0.91968631 -0.32327736 -0.05372889 -0.9530637 -0.97686191 -0.87405313 0.044047372 0.034498347 0.077557488 -0.44118742 -0.31374579 -0.65736773 -0.11832106 0.04126577 0.17315412 -0.53763313 0.0093753099 -0.4615413 -0.18886922 -0.48288693 0.041695922 -0.65775843 -0.57872166 -0.5548046 -0.11354341 -0.29191192 -0.11354341 -0.29191192 -0.44091353 -0.42765152 -0.1612053 -0.21425058 -0.59808511 -0.59631013 -0.45278287 -0.11292615 -0.38601337 -0.29411922 -0.035625796 0.13694523 -0.5386935 -0.24029347 -0.42478993 -0.51057721 -0.3367146 -0.62817278 -0.4202808 -0.33507565 -0.68439388 -0.44879842 -0.50235397 -0.53430909 -0.52546982 -0.20783507 -0.39825521 -0.54600378 0.1158341 -0.53317355 -0.35968117 -0.14638022 -0.18541481 -0.28953856 -0.4029539 -0.054336143 -0.37666461 -0.50238983 0.030864059 -0.35349524 -0.25778065 -0.13396328 -0.61215107 -0.60415752 -0.20825142 "1" "WALKING_UPSTAIRS"
"156" 0.15851651 0.0042561454 -0.018779209 -0.40602178 -0.083613613 -0.012498101 0.91447109 -0.31989706 -0.032413446 -0.95432914 -0.96181342 -0.90691978 0.086751502 0.56046755 0.091513098 -0.46471977 -0.41528187 -0.69791685 0.10683702 -0.25461783 0.13459276 -0.60474306 -0.042601701 -0.46215867 -0.2103659 -0.5925952 0.13401103 -0.67414883 -0.6104155 -0.62874799 -0.1609031 -0.40943463 -0.1609031 -0.40943463 -0.50226961 -0.45329786 -0.23450335 -0.16974076 -0.62879004 -0.63693073 -0.37183299 -0.071497805 -0.41272384 -0.41997876 -0.14792303 0.089081577 -0.61283262 0.21739456 -0.46304975 -0.46424586 -0.44435358 -0.66391868 -0.51446767 -0.42220513 -0.73050039 -0.4296196 -0.68011499 -0.44432121 -0.5254729 -0.20291786 -0.42291132 -0.63018617 0.037708293 -0.5247543 -0.25725111 0.12988667 -0.22475245 -0.37070225 -0.52382816 0.098241713 -0.42254399 -0.49859805 -0.082905157 -0.21088529 -0.28408636 0.058707483 -0.62753061 -0.675217 -0.056320172 "1" "WALKING_UPSTAIRS"
"157" 0.21524532 -0.032628002 -0.11896558 -0.40674365 -0.06891508 0.025753713 0.91307417 -0.31665935 -0.021065113 -0.96813367 -0.96260378 -0.9006 0.19465492 0.26031767 -0.028742135 -0.44190439 -0.43046518 -0.670211 -0.11332253 -0.067416287 0.18475287 -0.54435665 -0.019643429 -0.52116002 -0.24143193 0.070908552 -0.076358357 -0.63504639 -0.5166956 -0.64932738 -0.15544653 -0.39053748 -0.15544653 -0.39053748 -0.47607678 -0.46686571 -0.21470421 -0.15862424 -0.56066451 -0.56945972 -0.4228953 -0.16838658 -0.34817298 -0.40039314 -0.077897988 0.11753318 -0.42352586 -0.20201413 -0.53715395 -0.4537482 -0.47256833 -0.61788226 -0.47946386 -0.4216975 -0.72392932 -0.29487919 -0.70832966 -0.46002336 -0.50433324 -0.22869874 -0.5055717 -0.5595601 0.082867268 -0.57005153 -0.18298481 -0.42640213 -0.26510903 -0.38352427 -0.4887337 -0.13231954 -0.42805973 -0.52351721 0.070307979 -0.27724782 -0.22333704 -0.1775725 -0.55528917 -0.61997247 0.13643636 "1" "WALKING_UPSTAIRS"
"158" 0.27147742 -0.030746091 -0.15623238 -0.34169859 -0.15299856 0.021435303 0.91214896 -0.32596046 -0.035425357 -0.96847912 -0.94864843 -0.84431835 0.07065462 0.070539535 -0.006408421 -0.40953829 -0.3976281 -0.65350225 -0.41215344 0.20241838 0.15120201 -0.72564864 0.012712706 -0.57456488 -0.15688387 -0.0091031486 0.026084993 -0.61138333 -0.51329986 -0.64247777 -0.13659556 -0.38608182 -0.13659556 -0.38608182 -0.4445107 -0.44112042 -0.15770558 -0.15214717 -0.551105 -0.56765074 -0.43320337 -0.29067925 -0.37765783 -0.30880725 -0.14029122 0.12167556 -0.4085944 -0.13592012 -0.49100804 -0.44641137 -0.42329991 -0.61701867 -0.42293513 -0.40983913 -0.68840776 -0.22170165 -0.47495678 -0.4467079 -0.6298359 -0.30202768 -0.50807548 -0.75634413 0.15848513 -0.63764458 -0.06876874 -0.4124604 -0.076123229 -0.43319269 -0.45599537 -0.031833002 -0.4029909 -0.49696366 0.19623954 -0.32987725 -0.18380354 -0.1292725 -0.56739301 -0.59840377 0.088243812 "1" "WALKING_UPSTAIRS"
"159" 0.14085877 -0.068261729 -0.072115723 -0.23449858 -0.079448995 -0.03366354 0.93206988 -0.31920065 -0.063759757 -0.86447892 -0.80015145 -0.88450489 0.26743742 -0.070566748 0.075912557 -0.31353045 -0.46740504 -0.68928686 0.21415459 -0.27289173 0.027375306 -0.65416238 -0.018962532 -0.61725207 0.022401798 -0.060417603 -0.085348317 -0.58093117 -0.58654269 -0.64757147 -0.088105584 -0.22682976 -0.088105584 -0.22682976 -0.39356298 -0.47638637 -0.21782907 -0.20028901 -0.5670185 -0.68193484 -0.3085734 -0.28708183 -0.42342398 -0.20710176 -0.042503802 0.065190688 -0.41748087 -0.27381999 -0.507825 -0.3655635 -0.49881331 -0.64912616 -0.31975814 -0.4680903 -0.72883876 -0.35768111 -0.56109795 -0.36474898 -0.52452793 -0.33727667 -0.55557262 -0.69597999 0.12717306 -0.67475699 -0.078118895 -0.47924203 -0.18506684 -0.25736165 -0.33008445 -0.18535232 -0.41310842 -0.57356928 0.28478909 -0.36221134 -0.23326716 -0.13513874 -0.65467049 -0.74620984 0.2898003 "1" "WALKING_UPSTAIRS"
"160" 0.23145946 -0.013340312 -0.092367982 -0.316791 -0.11425996 -0.07121696 0.90583998 -0.35284871 -0.058087649 -0.96893145 -0.96771294 -0.94495362 0.086863388 -0.026759419 0.099981145 -0.43475427 -0.49372849 -0.69842959 0.15742021 -0.19015615 0.046324812 -0.65814209 -0.020163289 -0.6027051 0.047823128 -0.092770022 -0.17062433 -0.56805799 -0.57778733 -0.64866727 -0.15356809 -0.32198846 -0.15356809 -0.32198846 -0.48220575 -0.52160775 -0.25776972 -0.14718352 -0.56211832 -0.6637195 -0.41892304 -0.3707564 -0.4474072 -0.28036313 -0.058178294 0.024391156 -0.61122329 -0.24524033 -0.53724439 -0.50152755 -0.53259619 -0.68802267 -0.4167467 -0.48433463 -0.70660349 -0.52329343 -0.52239698 -0.76434704 -0.50841127 -0.31870207 -0.5506291 -0.70748016 0.11865544 -0.65761505 -0.045241325 -0.45811964 -0.077196701 -0.39802363 -0.38779068 -0.23949327 -0.47109933 -0.59802456 0.081245594 -0.33236299 -0.17562659 -0.1906541 -0.65216017 -0.70376348 0.16363376 "1" "WALKING_UPSTAIRS"
